, 15-01a, 15-02a, 15-03a, 15-04a, 15-05a, 15-06a, 15-07a, 15-08a, 15-09a, 15-10a, 15-11a, 15-12a, 15-13a, 15-14a, 15-15a, 15-16a, 15-17a, 15-18a, 15-19a, 15-20a, 15-21a, 15-22a, 15-23a, 15-24a, 15-25a, 15-26a, 15-27a, 15-28a, 15-29a, 15-30a, 15-31a, 15-32a, 15-33a, 15-34a, 15-36a, 15-01b, 15-02b, 15-03b, 15-04b, 15-05b, 15-06b, 15-07b, 15-08b, 15-09b, 15-10b, 15-11b, 15-12b, 15-13b, 15-14b, 15-15b, 15-16b, 15-17b, 15-18b, 15-19b, 15-20b, 15-21b, 15-22b, 15-23b, 15-24b, 15-25b, 15-26b, 15-27b, 15-28b, 15-29b, 15-30b, 15-31b, 15-32b, 15-33b, 15-34b, 15-36b, 15-01c, 15-02c, 15-03c, 15-04c, 15-05c, 15-06c, 15-07c, 15-08c, 15-09c, 15-10c, 15-11c, 15-12c, 15-13c, 15-14c, 15-15c, 15-16c, 15-17c, 15-18c, 15-19c, 15-20c, 15-21c, 15-22c, 15-23c, 15-24c, 15-25c, 15-26c, 15-27c, 15-28c, 15-29c, 15-30c, 15-31c, 15-32c, 15-33c, 15-34c, 15-36c
360_4.384_117.079,600,600,600,600,600,600,600,600,600,600,600,367576.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,367576.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,367576.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
361_4.793_117.079,600,600,600,600,600,600,600,600,600,600,600,1129830,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1129830,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1129830,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
362_5.153_117.079,600,600,600,600,600,600,600,600,600,600,600,299926.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,299926.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,299926.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
363_1.439_117.079,600,600,600,600,600,600,600,600,600,600,600,339922.9,600,600,581799.8,461231.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,339922.9,600,600,581799.8,461231.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,339922.9,600,600,581799.8,461231.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
364_2.057_117.079,499348.2,600,600,600,600,600,600,600,600,600,600,471899.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,782367.6,310520.3,600,600,600,600,600,600,499348.2,600,600,600,600,600,600,600,600,600,600,471899.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,782367.6,310520.3,600,600,600,600,600,600,499348.2,600,600,600,600,600,600,600,600,600,600,471899.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,782367.6,310520.3,600,600,600,600,600,600
365_0.315_117.079,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
366_0.392_117.079,600,91057.29,600,600,600,600,600,600,600,600,208868.5,600,600,600,600,600,600,600,600,219179,600,600,600,600,600,600,600,600,600,600,600,208939,600,600,600,600,91057.29,600,600,600,600,600,600,600,600,208868.5,600,600,600,600,600,600,600,600,219179,600,600,600,600,600,600,600,600,600,600,600,208939,600,600,600,600,91057.29,600,600,600,600,600,600,600,600,208868.5,600,600,600,600,600,600,600,600,219179,600,600,600,600,600,600,600,600,600,600,600,208939,600,600,600
367_0.177_117.079,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,278705.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,278705.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,278705.9,600,600,600
368_3.053_117.079,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,376085.2,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,376085.2,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,376085.2
369_5.622_117.079,55389.28,600,33416.27,63582.42,600,600,57540.86,600,54412.59,113612.7,74222.64,65021.48,600,40301.14,63767.41,600,50408.41,80744.2,58280.69,50377.85,64167.89,35608.95,600,50140.38,130644.4,83578.71,119852.8,600,600,600,122107.3,62272.94,600,600,41735.46,55389.28,600,33416.27,63582.42,600,600,57540.86,600,54412.59,113612.7,74222.64,65021.48,600,40301.14,63767.41,600,50408.41,80744.2,58280.69,50377.85,64167.89,35608.95,600,50140.38,130644.4,83578.71,119852.8,600,600,600,122107.3,62272.94,600,600,41735.46,55389.28,600,33416.27,63582.42,600,600,57540.86,600,54412.59,113612.7,74222.64,65021.48,600,40301.14,63767.41,600,50408.41,80744.2,58280.69,50377.85,64167.89,35608.95,600,50140.38,130644.4,83578.71,119852.8,600,600,600,122107.3,62272.94,600,600,41735.46
370_0.616_117.079,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,51170.43,143055.3,600,185842.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,51170.43,143055.3,600,185842.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,51170.43,143055.3,600,185842.1,600,600,600,600,600
371_0.234_117.079,600,600,600,600,600,600,168205.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,226936.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,168205.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,226936.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,168205.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,226936.8,600,600,600,600,600,600,600,600
372_5.213_117.079,600,23890.69,25173.33,600,600,600,600,600,8741.119,600,600,167728.5,600,600,600,34558.49,600,600,600,600,29889.35,600,600,600,600,600,600,600,3430.249,600,600,600,50932.52,600,600,600,23890.69,25173.33,600,600,600,600,600,8741.119,600,600,167728.5,600,600,600,34558.49,600,600,600,600,29889.35,600,600,600,600,600,600,600,3430.249,600,600,600,50932.52,600,600,600,23890.69,25173.33,600,600,600,600,600,8741.119,600,600,167728.5,600,600,600,34558.49,600,600,600,600,29889.35,600,600,600,600,600,600,600,3430.249,600,600,600,50932.52,600,600
373_3.134_117.079,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,107538.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,107538.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,107538.8,600,600,600,600,600,600,600
374_0.33_117.079,14749.46,101827.2,600,600,78658.54,600,139064.2,54085.32,600,600,600,600,600,600,600,600,600,138684.8,600,600,600,600,600,600,600,600,122469.8,600,600,600,75115.03,129299.4,600,600,600,14749.46,101827.2,600,600,78658.54,600,139064.2,54085.32,600,600,600,600,600,600,600,600,600,138684.8,600,600,600,600,600,600,600,600,122469.8,600,600,600,75115.03,129299.4,600,600,600,14749.46,101827.2,600,600,78658.54,600,139064.2,54085.32,600,600,600,600,600,600,600,600,600,138684.8,600,600,600,600,600,600,600,600,122469.8,600,600,600,75115.03,129299.4,600,600,600
375_0.215_117.079,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
376_0.593_117.079,120913.6,600,600,600,600,600,600,122395.3,97062.29,600,600,600,600,600,86958.22,118583.2,600,600,600,94100.8,95346.9,600,600,600,600,87871.73,600,96309.26,600,600,600,600,600,600,600,120913.6,600,600,600,600,600,600,122395.3,97062.29,600,600,600,600,600,86958.22,118583.2,600,600,600,94100.8,95346.9,600,600,600,600,87871.73,600,96309.26,600,600,600,600,600,600,600,120913.6,600,600,600,600,600,600,122395.3,97062.29,600,600,600,600,600,86958.22,118583.2,600,600,600,94100.8,95346.9,600,600,600,600,87871.73,600,96309.26,600,600,600,600,600,600,600
377_2.684_117.0791,1977864,791414.9,1986759,1592781,600,600,600,600,2131586,938330.3,1913066,6787748,2028452,2023505,1902749,1389202,2248743,600,903209.1,1995597,1426774,1690988,600,2064512,1951588,600,1253780,1834991,600,600,600,2199905,2027543,1382644,1236868,1977864,791414.9,1986759,1592781,600,600,600,600,2131586,938330.3,1913066,6787748,2028452,2023505,1902749,1389202,2248743,600,903209.1,1995597,1426774,1690988,600,2064512,1951588,600,1253780,1834991,600,600,600,2199905,2027543,1382644,1236868,1977864,791414.9,1986759,1592781,600,600,600,600,2131586,938330.3,1913066,6787748,2028452,2023505,1902749,1389202,2248743,600,903209.1,1995597,1426774,1690988,600,2064512,1951588,600,1253780,1834991,600,600,600,2199905,2027543,1382644,1236868
378_3.691_117.0791,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,781664.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,781664.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,781664.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
379_0.712_117.0791,600,600,334746.9,600,600,336424.5,600,600,600,600,600,600,600,232332.7,600,600,600,600,600,600,331845,600,600,65612.54,600,600,600,600,600,324437,316603.3,600,600,600,600,600,600,334746.9,600,600,336424.5,600,600,600,600,600,600,600,232332.7,600,600,600,600,600,600,331845,600,600,65612.54,600,600,600,600,600,324437,316603.3,600,600,600,600,600,600,334746.9,600,600,336424.5,600,600,600,600,600,600,600,232332.7,600,600,600,600,600,600,331845,600,600,65612.54,600,600,600,600,600,324437,316603.3,600,600,600,600
380_1.233_117.0791,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
381_0.312_117.0791,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,164221.8,600,600,600,600,600,189566.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,164221.8,600,600,600,600,600,189566.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,164221.8,600,600,600,600,600,189566.5,600,600,600,600,600,600,600,600,600,600,600,600,600
382_0.433_117.0791,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,164023.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,147119.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,164023.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,147119.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,164023.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,147119.4
383_0.519_117.0791,600,600,600,600,600,600,600,600,600,600,600,600,600,174829.2,126590.1,600,600,600,192379.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,174829.2,126590.1,600,600,600,192379.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,174829.2,126590.1,600,600,600,192379.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
384_0.756_117.0792,600,600,600,600,600,600,713438.1,600,600,723473.1,600,600,600,600,600,600,885297.5,600,600,735073.6,600,600,600,903813.8,853985.3,600,600,600,600,600,600,600,600,600,726847.2,600,600,600,600,600,600,713438.1,600,600,723473.1,600,600,600,600,600,600,885297.5,600,600,735073.6,600,600,600,903813.8,853985.3,600,600,600,600,600,600,600,600,600,726847.2,600,600,600,600,600,600,713438.1,600,600,723473.1,600,600,600,600,600,600,885297.5,600,600,735073.6,600,600,600,903813.8,853985.3,600,600,600,600,600,600,600,600,600,726847.2
385_0.445_117.0794,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
386_1.892_117.0812,4444.902,7193.481,2583.018,3108.337,600,8858.678,9864.438,600,600,8777.251,600,856.4167,2489.395,4724.997,6121.793,600,3129.743,600,600,600,600,600,600,600,600,1990275,600,3248.416,600,600,600,600,600,600,600,4444.902,7193.481,2583.018,3108.337,600,8858.678,9864.438,600,600,8777.251,600,856.4167,2489.395,4724.997,6121.793,600,3129.743,600,600,600,600,600,600,600,600,1990275,600,3248.416,600,600,600,600,600,600,600,4444.902,7193.481,2583.018,3108.337,600,8858.678,9864.438,600,600,8777.251,600,856.4167,2489.395,4724.997,6121.793,600,3129.743,600,600,600,600,600,600,600,600,1990275,600,3248.416,600,600,600,600,600,600,600
387_2.969_117.0833,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,16536.46,600,600,600,600,19914.18,600,600,600,600,600,600,18791.27,600,600,25249.53,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,16536.46,600,600,600,600,19914.18,600,600,600,600,600,600,18791.27,600,600,25249.53,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,16536.46,600,600,600,600,19914.18,600,600,600,600,600,600,18791.27,600,600,25249.53,600,600
388_2.274_117.086,600,600,600,600,600,600,600,600,600,600,600,600,600,600,2521.587,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,2521.587,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,2521.587,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
389_2.203_117.09,600,600,600,600,600,600,3016964,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,609248.9,600,600,600,600,600,600,600,600,600,600,600,600,600,3016964,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,609248.9,600,600,600,600,600,600,600,600,600,600,600,600,600,3016964,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,609248.9,600,600,600,600,600,600,600
390_1.76_117.09,600,600,600,600,600,600,81913.38,600,50150.42,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,99197.66,600,600,600,600,600,600,600,600,102580.3,600,600,600,600,600,600,600,81913.38,600,50150.42,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,99197.66,600,600,600,600,600,600,600,600,102580.3,600,600,600,600,600,600,600,81913.38,600,50150.42,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,99197.66,600,600,600,600,600,600,600,600,102580.3,600
391_2.835_117.09,600,600,600,600,600,600,144697.8,259616.1,600,600,600,600,600,600,600,48621.17,600,600,600,600,600,600,600,600,600,600,600,285371,61007.23,600,600,600,600,17361.5,600,600,600,600,600,600,600,144697.8,259616.1,600,600,600,600,600,600,600,48621.17,600,600,600,600,600,600,600,600,600,600,600,285371,61007.23,600,600,600,600,17361.5,600,600,600,600,600,600,600,144697.8,259616.1,600,600,600,600,600,600,600,48621.17,600,600,600,600,600,600,600,600,600,600,600,285371,61007.23,600,600,600,600,17361.5,600
392_1.971_117.0901,600,600,600,600,600,600,600,84639.72,38322.01,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,49672.19,600,600,600,600,600,600,600,600,600,600,600,600,600,84639.72,38322.01,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,49672.19,600,600,600,600,600,600,600,600,600,600,600,600,600,84639.72,38322.01,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,49672.19,600,600,600,600,600,600
393_2.309_117.0902,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,516816.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,516816.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,516816.6,600,600,600,600,600,600,600
394_0.538_118.0824,600,24302.27,18059.81,600,600,600,34050.41,44656.02,600,20825.96,600,20565.48,63356.09,20552.73,600,48193.46,57570.95,41263.3,600,39461.94,6480.067,600,37757.58,600,50581.83,600,600,42328.06,80745.91,600,600,600,7603.512,41519.08,600,600,24302.27,18059.81,600,600,600,34050.41,44656.02,600,20825.96,600,20565.48,63356.09,20552.73,600,48193.46,57570.95,41263.3,600,39461.94,6480.067,600,37757.58,600,50581.83,600,600,42328.06,80745.91,600,600,600,7603.512,41519.08,600,600,24302.27,18059.81,600,600,600,34050.41,44656.02,600,20825.96,600,20565.48,63356.09,20552.73,600,48193.46,57570.95,41263.3,600,39461.94,6480.067,600,37757.58,600,50581.83,600,600,42328.06,80745.91,600,600,600,7603.512,41519.08,600
395_0.79_118.0866,600,600,600,600,600,600,600,600,202880.3,600,668172.6,600,600,113617.6,600,600,600,600,600,600,600,600,600,600,600,600,1132736,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,202880.3,600,668172.6,600,600,113617.6,600,600,600,600,600,600,600,600,600,600,600,600,1132736,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,202880.3,600,668172.6,600,600,113617.6,600,600,600,600,600,600,600,600,600,600,600,600,1132736,600,600,600,600,600,600,600,600
396_1.809_118.0868,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,254203.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,254203.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,254203.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
397_3.114_118.0869,600,600,600,600,837478.7,600,600,600,600,600,600,600,600,600,600,600,600,600,773061.1,600,600,600,186074.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,837478.7,600,600,600,600,600,600,600,600,600,600,600,600,600,773061.1,600,600,600,186074.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,837478.7,600,600,600,600,600,600,600,600,600,600,600,600,600,773061.1,600,600,600,186074.6,600,600,600,600,600,600,600,600,600,600,600,600
398_3.36_119.0732,153853.8,132846.4,97508.28,172346.8,47613.77,600,169728.3,600,69788.63,147705.3,188886.7,233620.6,311996.1,219548.7,231309,218714.9,600,42665.8,59306.02,123253,99965.43,110072,367783.2,150558.7,600,159721.4,600,229227.8,55719.45,171544.1,163396.1,600,346030.8,347369.2,326908.3,153853.8,132846.4,97508.28,172346.8,47613.77,600,169728.3,600,69788.63,147705.3,188886.7,233620.6,311996.1,219548.7,231309,218714.9,600,42665.8,59306.02,123253,99965.43,110072,367783.2,150558.7,600,159721.4,600,229227.8,55719.45,171544.1,163396.1,600,346030.8,347369.2,326908.3,153853.8,132846.4,97508.28,172346.8,47613.77,600,169728.3,600,69788.63,147705.3,188886.7,233620.6,311996.1,219548.7,231309,218714.9,600,42665.8,59306.02,123253,99965.43,110072,367783.2,150558.7,600,159721.4,600,229227.8,55719.45,171544.1,163396.1,600,346030.8,347369.2,326908.3
