Compound Nme, 13 01, 13 02, 13 03, 13 04, 13 05, 13 06, 13 07, 13 08, 13 09, 13 10, 13 11, 13 12, 13 13, 13 14, 13 15, 13 16, 13 17, 13 18, 13 19, 13 20, 13 21, 13 22, 13 23, 13 24, 13 25, 13 26, 13 27, 13 28, 13 29, 13 30, 13 31, 13 32, 13 33, 13 34, 13 36, 14 01, 14 02, 14 03, 14 04, 14 05, 14 06, 14 07, 14 08, 14 09, 14 10, 14 11, 14 12, 14 13, 14 14, 14 15, 14 16, 14 17, 14 18, 14 19, 14 20, 14 21, 14 22, 14 23, 14 24, 14 25, 14 26, 14 27, 14 28, 14 29, 14 30, 14 31, 14 32, 14 33, 14 34, 14 36, 15-01, 15-02, 15-03, 15-04, 15-05, 15-06, 15-07, 15-08, 15-09, 15-10, 15-11, 15-12, 15-13, 15-14, 15-15, 15-16, 15-17, 15-18, 15-19, 15-20, 15-21, 15-22, 15-23, 15-24, 15-25, 15-26, 15-27, 15-28, 15-29, 15-30, 15-31, 15-32, 15-33, 15-34, 15-36
20_0.632_79.0422,600,600,600,600,714810.9,600,600,692329.9,600,600,852609.3,600,600,600,600,600,759362,600,600,831086.1,600,600,672271.7,600,600,600,600,767622.1,707916.2,600,600,600,600,600,600,600,600,600,600,830163.6,600,681479.3,600,600,600,600,600,600,600,600,600,736668.9,600,600,600,600,600,600,665561.6,600,600,600,600,600,600,600,600,600,600,789410.6,600,664534.2,745472.6,775115.6,600,627927.3,835693.1,736799.2,600,665065.1,694281.5,860749.8,722213.9,682824.1,889200.5,738455.8,742659.3,600,722295.3,1187159,716654.8,600,683417.5,750277.3,768174.9,822993.4,697011.9,600,600,634451.4,809718.1,685501.9,764496.5,654528.4,782935.1
21_8.122_79.0422,676773.1,600,600,1053527,237439.6,600,600,600,599999.1,600,719545.4,1298409,909229,600,600,600,174294.8,1145127,600,600,600,600,600,600,600,867285.2,1265045,600,600,136349.5,940154,600,600,600,868040.6,131780.9,600,600,600,600,600,600,600,600,600,784190.2,600,923403.3,600,600,600,600,600,167194.8,600,597787.2,1231400,600,180770.4,600,600,1214949,1040177,1253023,991777.8,1208037,940442.9,835856.4,1131922,600,600,600,600,600,325478,267816.9,600,600,600,264996,600,600,468468.1,600,600,350053.3,600,600,378015.2,806983.9,277270.4,600,248597,600,769010.1,600,751912.5,600,600,600,600,600,600,600,600
22_5.69_79.0422,600,238454.2,600,600,261582.5,124645.2,86028.16,179281,528949.1,270886.1,273115.7,600,379036.4,376736.8,600,848863.6,600,600,622391.8,842599.3,228455.2,600,99523.88,103250.1,600,600,969596.5,144923.9,212502.5,192689.8,903115.3,806077.5,659027.1,626588.3,925499.8,220650.3,192142.5,125304.8,600,193109.6,600,264840.6,164684.6,645936.3,228600.6,600,183136.8,600,128138.5,290889.2,600,183212.4,600,232721.4,28991.86,600,600,883354.5,600,194666.8,600,254158.9,228766.7,292782.3,600,435733,600,600,170278.1,185345.8,534628.9,136983.2,701460.8,763745.3,147277,366341.8,600,442639,345052.5,864437.3,600,600,348253.2,348678.8,600,280338.5,371040.8,408913.8,345032,375230.8,600,115082.4,446096.4,600,600,600,743095.5,765024.7,600,315658.1,357373.3,600,600,121072.7,600
23_9.541_79.0422,600,600,405767.5,600,600,600,477510.8,600,600,600,600,644247.8,473456.8,481098.8,399714.8,600,600,600,600,600,600,600,600,600,552621.1,600,600,600,600,600,600,451948.9,561193.1,485553.8,600,600,552189.9,600,473349.9,600,452799,455291.9,600,402237.9,431816.3,600,600,600,600,600,600,600,382017.3,600,426881.4,600,528398.8,600,600,600,448064.4,600,600,600,600,600,406162.9,600,600,600,537111.3,490730.2,600,390557.7,429082.5,527118.8,466610,637238.8,406375.6,498825.8,496011.5,499985.5,412769.8,429020.2,412289.7,600,463261.5,458580.6,437895,600,456631.8,320421.9,600,456575.3,374916,638098.6,600,467804,600,443430.7,416911.1,600,513129.9,519295,600
24_9.645_79.0422,600,600,600,600,600,600,600,770849.7,723510.9,600,881750.2,979924.9,600,600,600,600,600,892134.3,600,773946.8,600,600,217480.1,600,829818.5,1282600,600,600,600,600,986519.7,2233500,276401,600,600,600,448028.5,600,381200.5,600,600,600,600,600,600,600,796087.1,600,600,916743.1,600,600,999163.2,600,600,1801707,600,600,600,600,600,600,299883.6,600,600,600,600,1169250,1467846,600,240547.9,600,600,453363.3,600,273418.2,600,600,600,600,600,400637.7,600,600,600,600,424477.5,600,600,600,600,600,600,600,600,600,600,600,600,375208.7,600,600,600,600,600
25_0.233_79.0422,351417.2,520374.8,600,600,600,600,600,600,625472.3,600,815936.7,600,724916.9,600,600,600,600,1038054,600,600,600,600,600,454238.3,600,600,600,600,666159.2,409487.1,950984.3,600,600,600,453098,600,600,252923.3,600,417950.9,600,687352,480334.6,600,600,600,545765.4,600,600,600,603183.7,726223.2,600,600,600,600,600,600,600,600,600,600,600,675013.6,600,600,600,600,600,418126.2,446772.5,600,488955.8,600,600,626793.3,600,600,433959.6,600,815477.3,625062.1,600,600,600,600,600,627656,600,651050.8,919260.9,600,600,607606.8,600,942637.1,626474.4,600,731241.5,600,600,514054.8,600,600,600
26_9.423_79.0422,279973.2,600,600,296493.8,263795.5,600,600,274391.3,600,600,269154.6,600,339455.3,356318.4,600,350122.4,600,332225.4,600,241022.8,600,321908.6,356999.6,324729.3,600,600,340438.5,339178.7,600,348946,600,600,600,600,264951.3,372509,600,270541.6,600,278904.4,600,600,341658.3,600,600,600,600,285818.2,337992.8,357137.8,347388.9,600,349432.9,600,600,600,600,600,345107.7,600,369150.3,600,600,600,331010.8,357364.7,357967.6,600,320738.6,600,303945,600,292098,328420.5,337561.4,346745.1,326213.6,261235.3,259014.9,331777.9,257726.4,328695.7,600,600,600,267655.7,374676.5,373520.3,336319.9,342691.9,254016.3,325264.3,326768,336118.6,368572.3,600,600,369832.1,359856,600,299606.4,600,352678.9,306270.8,343219.6
27_0.363_79.0422,600,448227.3,600,600,600,151211.7,600,600,600,600,600,600,565300.8,600,600,600,592947.1,600,600,600,600,600,600,362104.9,600,600,600,600,506588.4,477467.1,600,500065.8,600,600,657921.8,452641.3,600,600,600,600,526197.9,600,584559.9,600,600,600,534762.3,600,600,523199.7,656536.4,600,600,600,600,600,600,600,600,546125.2,600,600,600,600,600,600,600,600,600,600,395432.9,600,600,590533.3,602756.9,600,600,554308.6,600,533427.1,600,600,600,463460.8,508252.5,462631.3,600,600,600,600,600,463079.8,364915.5,568960.9,600,600,600,600,600,600,501781.3,456948.6,478467.7,568156.6,457893.9
28_1.939_79.0422,600,600,600,600,600,600,600,600,690979.4,600,600,600,595523.6,600,600,600,639381,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700197,588186.4,723129.4,697928.8,723447.6,600,781693.8,706625.7,600,616264.4,600,600,839029.4,600,703225.3,600,758708.4,772275.8,600,717100.8,1001703,600,600,600,600,693510.9,684607.6,600,600,600,600,600,600,600,600
29_1.518_79.0422,600,600,600,600,600,600,600,600,600,313993.8,600,600,600,600,600,600,600,600,600,600,197154.1,600,383205.7,600,600,600,600,600,600,600,600,600,600,600,600,318164.4,600,600,600,330734.3,329728.2,600,600,600,600,600,600,600,600,600,600,202355.2,600,600,600,600,600,600,227710.9,600,600,600,600,600,600,600,600,600,600,600,600,548128.9,381657.9,520605.8,600,600,600,541491.1,451743.8,481384.9,584709.5,433616.5,375092.2,498822.5,600,496090.4,557132.4,583946.4,563492.6,589182.1,446067.7,460650.3,514226.3,590535.8,557296.9,600,600,600,445919.4,311168.7,528993.7,478663.9,505806.2,495412.5,390159.3
30_9.188_79.0422,600,600,600,600,600,600,600,600,845715.3,194246.5,600,600,600,373620.1,600,600,600,600,600,600,600,340801.1,600,198856.9,600,600,832417.1,263001.4,600,600,600,600,600,686547.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,220229.3,600,373526.3,206663.8,210134.2,600,600,600,600,600,600,210306.4,600,600,600,600,353716.8,600,600,600,600,600,562563,600,348840.3,515702.3,548756.8,600,281051.8,600,465271.3,564353.6,405513.3,443389.7,502892.7,600,516508.9,490259.6,486936.3,471808.3,492864.8,600,342052.1,600,344883.8,338744.7,600,600,600,600,410628,394436.9,600,600,600,370266.1,600
31_0.684_79.0422,600,600,600,600,600,516709.8,600,482534.8,600,600,600,600,600,600,605502.6,600,510720,496382.2,600,600,600,600,521352.4,569844.3,600,600,600,377385.2,600,490336.6,600,600,600,600,600,490148.8,600,536922.8,600,600,511594.8,606887.9,600,600,600,600,600,600,600,600,600,600,600,493044.8,600,600,600,600,445410.7,600,600,600,600,600,600,539120.3,600,600,600,600,600,585313.3,600,600,600,600,600,600,494219.7,600,600,600,600,466861.4,468524.4,600,600,919186.8,600,600,600,600,600,582668.9,600,600,600,602449.7,600,177039.5,533343.6,600,550980,600,600
32_0.524_79.0422,600,600,600,600,600,282056.2,600,600,432705.5,600,610575.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,488062.2,600,600,600,240650.9,600,600,600,538889.4,506681.3,600,600,600,600,600,693777.3,600,265259,600,639682.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,630514.1,730188.1,596485.8,600,600,600,600,600,600,600,528980.6,600,600,600,600,905884.4,468932.6,369831.3,600,600,600,600,647793.4,458358.9,600,492421.8,455133.8,600,600,464539.5,377334.5
33_3.558_79.0422,600,109490.9,300599.8,550150.4,600,600,600,394671.4,600,600,549129.8,600,600,852761,600,600,600,600,600,600,600,600,600,600,600,409825.1,600,600,99247.17,600,600,600,472106.3,600,110663.5,600,388126.1,600,600,600,127108.2,600,600,8080.831,600,586463,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,207357.9,431086.3,600,702695.3,365407.6,399729,418612.5,600,600,600,600,317394.4,600,377807.2,294608.7,600,263543.2,370303.7,616094,354753.6,372562.3,327284.8,600,600,415114.4,600,446629.3,319367.8,642549.7,231187.3,600,464902.3,600,600,600
34_1.013_79.0422,600,600,600,600,600,600,600,600,239628.3,600,227713.4,600,600,600,600,600,427435.8,600,600,600,600,600,600,179708.6,600,600,600,32250.66,600,424920.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,421657.6,600,250427.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,128732.9,600,208640.6,600,71363.71,620806.1,289237.7,331095.5,607431.8,541866.1,600,663641.1,708208.3,600,600,611402.1,205138.4,1174685,600,697771.3,600,600,600,230095.9,222686.2,681060.1,600,600,600,264097.4,600,600,600,189032.1,600
35_0.313_79.0422,400088,381487.4,600,600,600,383298.4,600,600,600,398332.6,600,600,258991.4,600,600,600,600,600,600,182485,263032.2,600,360802.5,600,600,600,600,352680.5,377974.6,431405.7,600,442549.9,600,600,442769.5,395771.3,600,600,600,351390.6,600,600,600,600,600,600,600,600,600,600,600,418233.4,600,393020.2,600,600,600,600,395560.4,600,600,600,600,600,600,413187.9,600,600,600,372719.9,600,600,600,600,600,600,600,600,374878.4,397852.9,600,600,600,373729.3,600,370985.8,600,600,600,600,600,600,600,600,600,600,600,385972.6,600,413699.5,600,600,600,600,600
36_9.642_79.0422,600,256577.9,257774.7,600,600,600,265881.4,600,600,600,600,302609.9,600,600,600,600,600,600,600,600,264110.2,320008.1,268645.7,600,600,600,600,600,600,258767.6,313972.1,600,289153.1,600,600,600,600,600,600,265502.3,600,309821.3,257325.2,600,600,600,600,600,180617.1,600,600,600,600,284918.1,600,600,600,283629.4,287645.3,293790.1,600,288576.5,305604.8,600,275807.3,316611.4,600,600,355081.6,280752.2,271761.8,600,600,600,279629.4,316695.8,600,600,600,600,600,600,600,600,600,272327.9,600,288891.8,600,600,600,301267.8,600,256083.1,269624.2,600,271145.1,283482.1,600,600,253251.4,255976.2,600,600,600
37_0.708_79.0422,600,395695.2,600,600,600,600,600,264389.1,600,600,300665.8,600,600,600,279349.7,600,600,600,291968.3,600,600,600,600,361789.8,600,600,600,390454.8,407827,473656.3,600,600,600,600,600,344032.8,600,375654.7,600,600,600,432661.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,357464.1,600,600,600,600,600,600,600,600,600,600,600,600,244433.1,600,600,600,219152.6,384892.6,600,600,217074.6,600,293404.5,600,600,180324.7,377856.8,326667.7,600,600,600,334770.7,600,600,600,190161.5,600,187485.1,425950.3,176589.1,358235.8,600,600,600,372501.3,403865.3
38_1.837_79.0422,600,600,600,600,205835.3,68662.05,600,600,600,600,527037.2,600,464998.3,600,600,600,600,439208.8,600,600,600,600,600,600,600,600,600,83217.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,261990,600,252207.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,498562.7,600,600,600,600,600,600,304720.2,600,600,600,531291.2,600,365030.1,600,600,600,554485.9,592817.3,453072.3,600,600,600,569724.3,600,493273.5,600,551365.7,600,600,600,392811.3,600,494901.7
39_1.744_79.0422,600,600,600,600,232202.3,600,600,600,600,321379.2,600,600,600,600,600,600,600,402806.5,600,600,225583.4,600,332093.3,323412.9,600,600,600,369525,600,600,600,600,600,600,600,600,600,600,600,201511,149345.2,600,600,600,600,600,600,600,600,600,600,600,600,407258.5,600,600,600,600,600,139930,600,235501.8,600,600,600,600,600,600,600,600,460291.6,600,244143.1,600,600,328526,600,380005.2,450970.4,340479.4,600,600,600,430607.3,600,354200.6,396850.3,600,600,600,421278.3,403685.3,600,318454,600,600,357996.7,458706.4,600,600,600,600,600,600,600
40_9.457_79.0422,600,600,600,600,234851.5,224941.3,600,600,600,220330.1,600,600,600,600,227270,224233.7,600,600,600,222170.7,600,600,230715.9,216909.6,600,600,600,219903.3,231355.8,221560.3,600,600,600,600,600,600,600,230986.3,600,600,215049.1,600,600,600,600,600,600,600,218853.6,193924,600,248761.5,229937.8,600,214557,600,600,600,218482.2,600,600,231858.9,600,600,600,221549.5,600,600,600,239499.9,251806,600,212499,217658.3,600,203897.4,600,600,600,600,600,221981.7,235739.5,600,600,600,600,600,600,600,219728,252096.1,222868,229753.8,600,600,600,600,600,600,600,600,600,237814.5,600
41_1.995_79.0422,600,600,600,415309.8,332046.5,600,600,600,600,283128.3,600,600,600,600,600,600,600,600,600,343374.4,600,600,157886.3,600,600,600,600,600,600,600,202512.2,600,600,600,600,600,600,600,600,265932.2,600,600,600,600,600,600,600,600,600,600,600,208756.8,600,600,600,600,600,600,600,256590.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,215214,600,600,228228.1,600,600,600,600,373563.9,600,380046.7,600,600,275113.3,600,401947,600,600,315678.4,600,600,416448.3,600,326981.2,398927.4,600,420235,249444.6,600,600
42_3.049_79.0422,600,215503.9,600,600,600,600,600,600,600,209015.5,600,600,269810,600,600,600,600,244269.1,600,600,159361,600,600,600,600,600,600,600,600,156583.7,600,600,600,600,600,600,600,231504.5,600,600,224551.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,161600.3,271038,600,600,600,600,600,600,600,600,600,600,185780.6,600,600,600,216147.5,205499.8,187686.7,600,600,206940.5,600,205950,600,181015.2,171010.8,600,600,600,600,154976.8,600,252615.3,600,600,310988.4,237055.5,600,600,249531.3,231519.6,182034.1,600,600,176681.3,184031.2
43_0.29_79.0422,349405.2,600,600,600,600,600,600,600,600,600,600,600,600,600,212882.8,600,600,600,600,600,287143.5,600,600,332337.2,600,600,600,323054.6,600,237933.3,600,600,600,600,313693.4,319977.9,600,299507.2,600,283184.8,270982.4,600,252796.1,600,600,600,295917.9,600,207266,600,600,600,600,201295.7,600,600,600,600,264409.2,317308.2,600,241496,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,277066.4,600,600,600,600,600,600,600,318495.2,600,302795.2,600,600
44_0.555_79.0422,600,600,600,600,600,173018.8,600,600,600,262743.4,600,600,600,600,154935.7,600,220738.4,263624.8,600,600,600,600,201855.3,230954.2,600,600,600,318517.7,600,256028,600,600,600,600,600,213809,600,317505.2,600,303848.5,318610.9,252083,600,600,600,600,600,600,173955.7,600,600,600,600,301217.4,600,600,600,600,600,330665.5,600,600,600,600,600,600,600,600,600,294607.9,600,600,600,303510.7,600,600,600,600,290386.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,275061,290739.7,600,600,600,600,600,600
45_1.374_79.0422,600,600,600,600,125273.8,600,600,600,600,600,600,600,600,600,600,600,272574.5,600,600,600,600,600,600,600,600,600,600,600,600,47579.06,600,600,600,600,600,600,600,600,600,281137.4,600,600,600,600,600,600,600,600,173603.2,600,600,212179.7,600,152728,600,600,600,600,600,177090.4,600,600,600,600,600,600,600,600,600,600,600,600,600,316146.8,600,600,363998.9,600,600,600,600,600,482176.2,600,373132.1,600,600,600,600,238633.8,600,600,324771.4,600,600,151629,600,189056.9,183498,469258.3,600,155471.3,341928.2,600,600
46_0.443_79.0422,600,312703.5,600,600,600,210165.8,600,600,600,321828.1,600,600,170330.3,600,600,600,239903.5,600,600,183175.1,329114.6,600,423900.3,600,600,600,600,600,283255.2,600,600,273540.2,600,600,600,600,600,600,600,211360.5,600,600,257641.8,600,600,600,239795.3,600,600,600,256166.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,290529.2,600,600,600,600,251216.3,600,600,600,600,600,600,600,354834.2,345668.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
47_3.303_79.0422,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,192156,600,600,600,600,600,600,600,600,600,600,108794.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,348661.3,600,600,600,600,600,600,600,319192.2,600,600,365022.4,600,600,337182.2,600,600,600,600,345231.5,184492.8,600,600,600,277636.2,600,600,600,600,348868.1,327493.8,320698.9,600,600,144409.8
48_0.194_79.0422,600,600,600,600,294756.7,600,600,600,600,189161,600,286698.8,600,600,600,600,600,600,600,600,600,600,294829.5,271191.7,600,600,600,246382.7,600,600,312714.9,600,600,600,600,600,600,231162.6,600,600,326154.4,600,600,600,600,310568.1,238431.8,600,239392.3,600,600,600,600,267682.3,600,600,600,600,257762.8,254823.4,600,600,600,600,600,600,600,600,600,600,600,600,600,294483.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,231816.3,600,600,600,600,211387.9,600,600,600,600,214131.2,600,284791.9
49_1.455_79.0422,600,189390.8,600,600,600,115434.2,600,600,219442,183928.2,600,600,600,600,600,217661,600,600,600,600,196594,600,600,201297.3,600,600,600,228055.1,220481.3,600,600,600,600,600,600,600,600,184408.2,600,245046.3,600,600,600,600,600,600,600,600,600,600,600,185203.4,600,600,600,600,600,600,182328.7,163562.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,233885,600,254425.8,600,600,238158.5,600,600,600,600,600,600,600,600,600,183890.6,600,600,600,224433,600,600,222465.4,600,268351.9,600,230097.9,600,600,600,600
50_2.076_79.0422,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,470806,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,584687.8,492751.4,600,600,600,600,600,600,600,600,600,600,502896.9,600,600,600,600,600,496657.2,600,600,489414.4,498748,600,558407.6,600,600,600,600,600,600,600,600,600,459307.3
51_7.253_79.0422,292132.9,600,600,600,600,600,600,600,477608.3,600,600,600,314937.5,600,600,600,300347.6,600,600,600,600,600,600,600,600,600,600,600,600,600,332870.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,69359.61,600,600,600,600,600,600,600,600,600,600,129497.4,600,600,600,600,143645.7,87111.55,600,69875.59,275275.5,600,600,600,600,600,600,409237.4,600,600,600,303406.8,600,600,600,600,600,264904.9,600,600,600,254031.5,254184.6,600,600,600,600,600,600,600
52_3.613_79.0422,600,600,600,600,600,600,600,600,600,600,600,600,225739.7,600,600,600,600,600,600,600,207682.4,600,600,600,600,600,600,600,152899.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,107083.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,214442.4,230486.1,600,600,600,600,408867.9,240486.8,600,318351.8,600,262496.2,600,600,600,600,600,600,600,281809.8,600,213049.5,600,600,239115.8,600,246303.8,206032.4,600,600
53_2.874_79.0422,600,600,600,600,88454.75,600,600,600,600,167426.9,600,600,600,600,368286.6,600,600,600,600,600,156162.5,600,76858.49,600,600,600,600,600,600,600,600,600,600,600,600,143409.1,600,339735.7,600,134187.2,257790.1,600,600,600,600,600,600,600,600,600,600,600,600,367073,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,603625.4,600,600,600,600,600,600,250416.5,600,600,600,600,600,600,600,600,219988.8,352624.1
54_4.472_79.0422,600,154212.6,600,600,600,600,600,600,200845.7,600,152106.5,181167.3,600,600,600,600,600,600,169939.6,600,600,600,135015.8,600,600,600,600,600,600,148658.1,600,600,600,600,600,600,600,600,151786.1,129929.1,192802.5,600,137187,87892.1,94362.11,600,600,600,179603.4,600,600,153204.7,222581.4,600,600,600,150030.4,600,208256.7,185135.9,600,600,600,600,600,600,171665.9,600,600,116448,600,600,600,600,600,600,600,600,600,600,600,600,91898.72,600,600,600,600,600,600,600,600,600,141679.8,600,600,600,600,600,89200.17,600,600,600,600,600,600
55_1.378_79.0422,600,600,600,600,161531.1,170168.6,600,600,600,600,600,600,600,600,600,600,141400,600,600,600,138502.1,600,600,148645.9,600,600,600,162555.6,600,600,600,600,600,600,600,140014.7,600,174314.3,600,168578.6,600,600,600,600,600,600,600,600,137753.9,600,600,178072.9,600,139288.6,600,600,600,600,164853,137684.8,600,600,600,600,600,600,600,600,600,600,169321.6,600,600,600,159660.9,600,600,53743.72,600,600,600,600,151102.7,600,600,600,600,600,600,600,600,600,600,600,600,164670.2,151466.8,600,600,600,600,152171.7,600,159228.3,142263.8
56_9.171_79.0422,600,600,600,600,600,108286.1,178249.5,600,600,175724.9,600,183858.2,600,600,600,600,600,600,600,600,171955.5,183224,168442.9,188269.1,600,600,600,163894.3,600,600,600,171764.8,600,600,600,600,600,600,600,176218.4,600,600,600,600,600,600,600,600,600,600,600,178158.9,600,181800.6,178544.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,172593.9,600,600,600,168933,600,600,600,600,600,600,600,600,600,600,188004.2,600,600,176517,163419.1,600,600,600,177685.9,600,600,173818.7,600,600,600,600,159683.1,600,600,600,600
57_1.79_79.0422,600,600,600,600,190211.5,184748.9,209567.8,600,600,151201.3,600,600,600,600,600,600,600,600,600,600,186564,600,193856.3,179459.1,600,600,600,186913,600,600,600,600,600,600,600,600,600,201806.7,600,176197.2,600,600,600,600,600,600,600,160792.8,600,600,600,226277,600,205801.8,600,600,600,600,170569.9,211570.5,600,198690.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,200223.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,208033.8,600
